PosLVLH(1,1)              PosLVLH(2,1)              PosLVLH(3,1)              
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
0                         0                         0                         
-162.4036955298063        0                         -1.903109927369191e-05    
-162.4036955298063        0                         -1.903109927369191e-05    
-162.4036955298063        0                         -1.903109927369191e-05    
-162.4036955298063        0                         -1.903109927369191e-05    
-162.4036955298063        0                         -1.903109927369191e-05    
-162.4036955298063        0                         -1.903109927369191e-05    
-162.4036955298063        0                         -1.903109927369191e-05    
-162.4036955298063        0                         -1.903109927369191e-05    
-162.4036955298063        0                         -1.903109927369191e-05    
-162.4036955298063        0                         -1.903109927369191e-05    
-162.4036955298063        0                         -1.903109927369191e-05    
-162.4036955298063        0                         -1.903109927369191e-05    
-162.4036955298063        0                         -1.903109927369191e-05    
-162.4036955298063        0                         -1.903109927369191e-05    
-162.4036955298063        0                         -1.903109927369191e-05    
-162.4036955298063        0                         -1.903109927369191e-05    
-162.4036955298063        0                         -1.903109927369191e-05    
